Name	Clone	Marker	Against	Isotype	Company	Cat..	Dilution.for.FACS	Box	Location	Back.up	Storage	Application	Group
1	CD44 PE	?	PE	Human	?	Miltenyi	130095180		Abs box 3	A3		Fridge	NA	Van Boxtel
2	CD34 BV421	581	Brilliant Violet 421	Human	mouse IgG2a kappa	BioLegend	343609	1:20	Abs box 2	D2	YES	Fridge	NA	Van Boxtel
3	MSH3			human	rabbit polyclonal	Abcam	ab69619		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
4	FCR-Blocker (for MACS)	n.a.	n.a.	Human	n.a	Miltenyi biotec	120-000-816	FACS	Abs box 5	D9		Fridge	NA	Van Boxtel
5	CD8a BV785	SK1	Brilliant Violet 785	Human	mouse IgG1 kappa	BioLegend	344739		Abs box 1	C5		Fridge	NA	Van Boxtel
6	CHD-1			Human	rabbit polyclonal	Sigma	HPA022236-25ul	1:500 IF	Abs freezer box 2	NA		Freezer	WB/IF	Van Boxtel
7	TCR Vd1 FITC	REA173	FITC	Human		Miltenyi	130-118-498		Abs box 4	C4		Fridge	NA	Van Boxtel
8	CD7 PECy7	MT701	PE/Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	564019		Abs box 1	C4		Fridge	NA	Van Boxtel
9	CD56 AF488	B159	AF488	Human	Mouse IgG1, κ	BD Pharmigen	557699		Abs box 3	B5		Fridge	NA	Van Boxtel
10	CD11c PECy7	B-ly6	PE-Cy7	Human	Mouse BALB/c IgG1, κ	BD Pharmingen	561356		Abs box 1	E2		Fridge	NA	Van Boxtel
11	Ig kappa light chain PECy7	MHK-49	Pe-Cy7	Human	Mouse IgG1, κ	BioLegend	316520	FACS	Abs box 5	E4		Fridge	NA	Van Boxtel
12	CD144 BV421	55-7H1	BV421	Human	Mouse IgG1, κ	BD Horizon	565670		Abs box 4	A2		Fridge	NA	Van Boxtel
13	PageRuler Prestained Protein ladder					Thermo Fisher	26616		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
14	APOBEC3A			Human	rabbit polyclonal	Sigma	HPA043237-100UL		Abs freezer box 1	NA		Freezer	WB	Van Boxtel
15	CCRL1 BV786	13E11	Brilliant Violet 786	Human	Mouse BALB/c IgG2b, κ	BD Bioscience	747802		Abs box 4	D1		Fridge	NA	Van Boxtel
16	CD5 BUV737	UCHT2	BUV737	Human	Mouse BALB/c IgG1, κ	BD Bioscience	564451	1:500	Abs box 1	B9		Fridge	NA	Van Boxtel
